time,Infection rate,Recovery Rate,Standard_Deviation,Skewness,Kurtosis,Remaining Time
1,0,0,2.549509756796392,0.9051513929454654,1.9999999999999976,200
2,2,0,1.9235384061671343,1.5174736878455175,2.6077428780130933,199
3,3,1,2.1908902300206647,0.8463074239229127,1.744791666666656,198
4,3,0,2.1908902300206647,0.8463074239229127,1.744791666666656,197
5,7,0,2.1908902300206647,0.8463074239229127,1.744791666666656,196
6,4,2,1.1401754250991385,-0.40479600891093737,-0.17751479289931402,195
7,1,3,1.0,3.70074341541719e-15,-3.0000000000000604,194
8,3,3,0.8944271909999162,-1.2577882373436389,0.31250000000010186,193
9,3,7,0.8366600265340757,-0.5122408325718887,-0.6122448979589924,192
10,2,4,0.8366600265340757,-0.5122408325718887,-0.6122448979589924,191
11,1,1,1.483239697419133,0.5516180692881097,0.8677685950412682,190
12,3,3,1.341640786499875,0.16563466499998158,-2.407407407407252,189
13,2,3,1.9493588689617936,0.08099829095409834,-0.8171745152354859,188
14,3,2,1.949358868961794,-0.08099829095408809,-0.8171745152356671,187
15,5,1,2.302172886644269,-0.6064819993295638,0.2741189035243465,186
16,5,3,2.3874672772626657,-1.2639100390556484,1.098799630655679,185
17,7,2,2.3874672772626657,-2.0428313421945794,4.4228993536471215,184
18,8,3,2.3874672772626657,-1.2639100390556484,1.098799630655679,183
19,2,5,2.0736441353327737,-1.4467284665112379,1.9307733910222151,182
20,7,5,2.0736441353327737,-1.4467284665112379,1.9307733910222151,181
21,7,7,1.870828693386972,-1.145405322481821,2.0000000000000355,180
22,5,8,2.1679483388678804,-0.5594072218898525,-2.3675871435039064,179
23,6,2,2.345207879911716,-0.5814564991516618,-2.6280991735537627,178
24,2,7,2.0736441353327733,-0.23551393640880355,-1.9632233639805403,177
25,5,7,1.9235384061671352,-0.5901286563843612,-0.021913805697607813,176
26,1,5,2.121320343559643,0.5237828008789239,-0.9629629629629488,175
27,6,6,2.121320343559643,0.5237828008789239,-0.9629629629629488,174
28,4,2,1.4142135623730951,0.8838834764831869,-1.7500000000000189,173
29,3,5,0.8944271909999155,1.2577882373436324,0.3125000000000083,172
30,1,1,0.5477225575051653,0.6085806194501694,-3.3333333333331896,171
31,1,6,0.5477225575051655,-0.6085806194501595,-3.3333333333337323,170
32,1,4,0.5477225575051655,-0.6085806194501595,-3.3333333333337323,169
33,2,3,0.5477225575051655,-0.6085806194501595,-3.3333333333337323,168
34,2,1,0.5477225575051653,0.6085806194501694,-3.3333333333331896,167
35,2,1,0.4472135954999565,2.236067977499776,5.000000000000166,166
36,1,1,0.0,,,165
37,1,2,0.4472135954999565,2.236067977499776,5.000000000000166,164
38,1,2,0.5477225575051653,0.6085806194501694,-3.3333333333331896,163
39,1,2,0.8366600265340753,0.5122408325718871,-0.612244897959202,162
40,1,1,0.8366600265340753,0.5122408325718871,-0.612244897959202,161
41,2,1,0.8366600265340758,-0.5122408325718887,-0.6122448979589924,160
42,2,1,0.8366600265340758,-0.5122408325718887,-0.6122448979589924,159
43,3,1,1.0,3.70074341541719e-15,-3.0000000000000604,158
44,1,1,1.0,3.70074341541719e-15,-3.0000000000000604,157
45,3,2,1.0,3.70074341541719e-15,-3.0000000000000604,156
46,2,2,0.8944271909999155,1.2577882373436324,0.3125000000000083,155
47,1,3,1.0954451150103317,1.2932338163316437,2.916666666666662,154
48,3,1,1.1401754250991376,0.4047960089109369,-0.17751479289942415,153
49,1,3,0.8366600265340742,0.5122408325718838,-0.6122448979591795,152
50,1,2,1.303840481040529,0.5413870509510866,-1.4878892733564086,151
51,0,1,1.303840481040529,0.5413870509510866,-1.4878892733564086,150
52,2,3,1.1401754250991376,-0.4047960089109359,-0.17751479289940994,149
53,0,1,1.1401754250991376,-0.4047960089109359,-0.17751479289940994,148
54,3,1,0.8366600265340752,0.5122408325718871,-0.612244897959202,147
55,1,0,1.224744871391589,1.3608276348795405,2.0000000000000404,146
56,2,2,1.1401754250991385,0.40479600891093936,-0.1775147928994715,145
57,2,0,1.5811388300841904,0.0,-1.1999999999999886,144
58,1,3,1.6733200530681518,-1.0885117692152464,0.5357142857142243,143
59,4,1,1.3038404810405309,-0.5413870509510914,-1.4878892733562548,142
60,3,2,3.0822070014844893,1.2806954299797018,2.0000000000000258,141
61,5,2,3.0822070014844893,1.2806954299797018,2.0000000000000258,140
62,5,1,3.2093613071762435,1.66079683065299,2.7118484305778123,139
63,2,4,3.2093613071762435,1.66079683065299,2.7118484305778123,138
64,10,3,2.9154759474226517,1.815867372097151,3.3840830449827144,137
65,3,5,0.8366600265340783,0.5122408325718859,-0.6122448979593821,136
66,3,5,1.5165750888103124,1.1180799331493618,1.4555765595463868,135
67,5,2,1.3038404810405329,1.7143923280117823,2.664359861591313,134
68,4,10,1.7888543819998337,0.8210562104882047,2.3632812500000404,133
69,4,3,1.870828693386972,1.1454053224818166,2.0000000000000058,132
70,7,3,1.9235384061671361,1.5174736878455175,2.6077428780130933,131
71,4,5,0.8366600265340776,-0.5122408325718726,-0.6122448979592008,130
72,2,4,1.923538406167136,1.5174736878455175,2.6077428780130933,129
73,3,4,2.1908902300206656,0.8463074239229127,1.744791666666656,128
74,3,7,2.3021728866442683,1.032658539398991,1.1285154859380748,127
75,4,4,2.3021728866442683,1.032658539398991,1.1285154859380748,126
